state,county,biden_county_votes,trump_county_votes,total_county_votes,county_winner,biden_county_percent,trump_county_percent
Colorado,Sedgwick County,301,1121,1446,trump,0.208160442600277,0.775242047026279
Colorado,Summit County,12620,5319,18465,biden,0.683455185486055,0.288058489033306
Colorado,Teller County,5278,11241,16939,trump,0.311588641596316,0.663616506287266
Colorado,Washington County,369,2595,3008,trump,0.122672872340426,0.862699468085106
Colorado,Weld County,66060,96145,166968,trump,0.395644674428633,0.575828901346366
Colorado,Yuma County,785,4107,4981,trump,0.157598875727766,0.824533226259787
Connecticut,Andover,1058,998,2091,biden,0.50597800095648,0.477283596365375
Connecticut,Ansonia,4521,3797,8419,biden,0.536999643663143,0.451003682147523
Connecticut,Ashford,1330,1160,2544,biden,0.522798742138365,0.455974842767296
Connecticut,Avon,7299,4469,11987,biden,0.608909652123133,0.372820555601902
Connecticut,Barkhamsted,1154,1228,2442,trump,0.472563472563473,0.502866502866503
Connecticut,Beacon Falls,1543,2191,3803,trump,0.405732316592164,0.576124112542729
Connecticut,Berlin,6008,6687,12873,trump,0.466713275848676,0.519459333488697
Connecticut,Bethany,1912,1718,3698,biden,0.517036235803137,0.464575446187128
Connecticut,Bethel,6270,4734,11172,biden,0.561224489795918,0.423737916219119
Connecticut,Bethlehem,937,1393,2367,trump,0.395859738065061,0.588508660752007
Connecticut,Bloomfield,11007,1698,12821,biden,0.858513376491693,0.132438967319242
Connecticut,Bolton,1727,1482,3288,biden,0.525243309002433,0.450729927007299
Connecticut,Bozrah,703,817,1548,trump,0.454134366925065,0.527777777777778
Connecticut,Branford,10562,7098,17913,biden,0.589627644727293,0.396248534583822
Connecticut,Bridgeport,33515,8269,42188,biden,0.794420214278942,0.196003602920262
Connecticut,Bridgewater,667,549,1233,biden,0.54095701540957,0.445255474452555
Connecticut,Bristol,15463,13834,29800,biden,0.518892617449664,0.464228187919463
Connecticut,Brookfield,5426,5246,10827,biden,0.501154521104646,0.484529417197746
Connecticut,Brooklyn,1876,2262,4222,trump,0.444339175746092,0.535765040265277
Connecticut,Burlington,3099,3034,6231,biden,0.49735194992778,0.486920237522067
Connecticut,Canaan,437,209,655,biden,0.667175572519084,0.319083969465649
Connecticut,Canterbury,1182,1755,3012,trump,0.392430278884462,0.582669322709163
Connecticut,Canton,3878,2663,6663,biden,0.582020111061084,0.39966981840012
Connecticut,Chaplin,598,662,1290,trump,0.463565891472868,0.513178294573643
Connecticut,Cheshire,9745,7349,17435,biden,0.558933180384285,0.421508459994264
Connecticut,Chester,1701,853,2596,biden,0.655238828967643,0.328582434514638
Connecticut,Clinton,4368,3312,7804,biden,0.559712967708867,0.424397744746284
Connecticut,Colchester,5216,4243,9691,biden,0.538231348674027,0.437828913424827
Connecticut,Colebrook,403,571,996,trump,0.404618473895582,0.573293172690763
Connecticut,Columbia,1888,1600,3568,biden,0.52914798206278,0.448430493273543
Connecticut,Cornwall,760,250,1032,biden,0.736434108527132,0.242248062015504
Connecticut,Coventry,4011,3545,7772,biden,0.516083376222337,0.456124549665466
Connecticut,Cromwell,4872,3749,8783,biden,0.554707958556302,0.426847318683821
Connecticut,Danbury,18869,12788,32021,biden,0.589269541863152,0.399362918085007
Connecticut,Darien,7876,4921,13018,biden,0.605008449838685,0.378015056076202
Connecticut,Deep River,1785,1076,2902,biden,0.615093039283253,0.370778773259821
Connecticut,Derby,2963,2749,5778,biden,0.512807199723088,0.475770162686051
Connecticut,Durham,2363,2330,4782,biden,0.494144709326642,0.487243831033041
